index,row_key,parameter,value_M,relation,species,source_has_identifier,current_source,candidate_identifier,support_verdict,recommended_addition_or_limitation,evidence_url
11,fipronil/insect_RDL,IC50,3e-08,exact_compound_exact_receptor_exact_species,Drosophila melanogaster,False,"Hosie et al. 1995, Br J Pharmacol 115:909 (fipronil block of dieldrin-sensitive Drosophila GABA receptors, tens-of-nM order). SPREAD NOTE: the literature spans ~1500-fold for this one row - 2.4-12 nM on house-fly head membranes ([3H]EBOB displacement; Cole et al. 1993, Pestic Biochem Physiol 46:47 and Ratra and Casida 2001, Toxicol Lett 122:215) versus 0.3-3 uM on the predominant in vivo splice/edit variant of Drosophila RDL in Xenopus oocytes (Lees et al. 2014, PLoS ONE 9:e97468). Library keeps the potent end (unchanged from FlyLab v0.4); it is a defensible midpoint-to-potent choice, not a measured constant.",10.1111/j.1476-5381.1995.tb15896.x; PMID 7582519,assay direct; value unconfirmed,"Hosie tests Drosophila RDL fipronil block, but 30 nM is not established by checked abstract; predominant RDL variant is ~0.63 µM in Lees 2014. Specify variant/assay or use Lees value.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097468
12,clothianidin/insect_nAChR,EC50,3e-08,exact_compound_related_receptor,Periplaneta americana native neuronal nAChR,False,"Thany 2009, Neurotoxicology 30:1045 (clothianidin is an agonist at cockroach nAChRs from about 30 nM); Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 for low-nM insect binding.",10.1016/j.neuro.2009.06.013; PMID 19583978,paper verified; value unconfirmed,Cockroach synaptic/extrasynaptic receptor agonism is supported; 30 nM exact EC50 needs full assay verification. Related-receptor transfer explicit.,https://pubmed.ncbi.nlm.nih.gov/19583978/
13,clothianidin/vertebrate_nAChR_a7,EC50,0.00074,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,False,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; clothianidin partial agonist, EC50 0.74 mM, vs acetylcholine 0.16 mM).",10.1111/bph.14018; PMID 28853147,direct,Rat alpha7 oocyte clothianidin EC50 ~0.74 mM supported; retain species and partial agonism.,https://pubmed.ncbi.nlm.nih.gov/28853147/
14,clothianidin/vertebrate_nAChR_a4b2,EC50,0.0001,class_extrapolation,mammalian (inferred from the alpha7 data),False,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; no direct alpha4beta2 EC50 was located, so this row is a high-micromolar class order, not a measured EC50.",10.1111/bph.14018; PMID 28853147,unsupported cross-receptor extrapolation,Alpha7 data cannot validate 0.1 mM alpha4beta2 EC50. Label a synthetic assumption or remove numeric row pending alpha4beta2 assay.,https://pubmed.ncbi.nlm.nih.gov/28853147/
15,thiamethoxam/insect_nAChR,EC50,0.0001,exact_compound_related_receptor,Periplaneta americana neurons and cercal afferent/giant interneuron synapses,False,"Thany 2011, Neuropharmacology 60:587 (thiamethoxam is a poor agonist on isolated cockroach neuronal cell bodies but a full agonist at cercal afferent/giant interneuron synapses); Nauen et al. 2003, Pestic Biochem Physiol 76:55 (thiamethoxam is a precursor converted to clothianidin; binding up to 10000-fold weaker than other neonicotinoids).",10.1016/j.neuropharm.2010.12.008; PMID 21172360,paper verified; value unconfirmed,TMX is poor agonist on isolated cockroach cell bodies but full agonist at synapse; 0.1 mM depends on preparation and needs figure check.,https://pubmed.ncbi.nlm.nih.gov/21172360/
16,acetamiprid/insect_nAChR,EC50,5e-08,class_extrapolation,insect (review-level class statement),False,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (cyanoamidine neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). TYPING NOTE (v0.6): review-level affinity statement; typed as the weaker claim (EC50 / class_extrapolation, evidence distance E3), so it drives functional_engagement_proxy only.",10.1146/annurev.pharmtox.45.120403.095930,class-order extrapolation,Review class trend does not establish acetamiprid functional EC50 50 nM. Distinguish binding from activation.,https://doi.org/10.1146/annurev.pharmtox.45.120403.095930
17,acetamiprid/vertebrate_nAChR_a7,EC50,0.00073,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,False,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetamiprid EC50 0.73 mM).",10.1111/bph.14018; PMID 28853147,direct,Rat alpha7 oocyte acetamiprid EC50 ~0.73 mM supported; retain species and partial agonism.,https://pubmed.ncbi.nlm.nih.gov/28853147/
18,acetamiprid/vertebrate_nAChR_a4b2,EC50,0.0001,class_extrapolation,mammalian (inferred from the alpha7 data),False,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; not a measured alpha4beta2 EC50.",10.1111/bph.14018; PMID 28853147,unsupported cross-receptor extrapolation,Alpha7 data cannot validate 0.1 mM alpha4beta2 EC50. Label synthetic assumption or remove pending assay.,https://pubmed.ncbi.nlm.nih.gov/28853147/
19,sulfoxaflor/insect_nAChR,EC50,0.00015,exact_compound_related_receptor,Periplaneta americana DUM neurons (alpha-bungarotoxin-insensitive nAChR),False,"Watson et al. 2011, Pestic Biochem Physiol 101:32 (sulfoxaflor fully activates alpha-bungarotoxin-insensitive nAChRs of cockroach DUM neurons, EC50 about 154 uM); Sparks et al. 2013, Pestic Biochem Physiol 107:1 (mode of action review).",10.1016/j.ibmb.2011.01.009; PMID 21296156,source citation wrong; number unverified,"Matching Watson 2011 primary paper is IBMB 41:432-439, not Pestic Biochem Physiol 101:32. It supports Dalpha2/chicken beta2 efficacy but 154 µM needs table confirmation.",https://pubmed.ncbi.nlm.nih.gov/21296156/
20,sulfoxaflor/vertebrate_nAChR_a4b2,EC50,0.001,class_extrapolation,mammalian (review-level contrast),False,"Sparks et al. 2013, Pestic Biochem Physiol 107:1 (low mammalian nAChR activity reported for sulfoximines). Order-of-magnitude contrast, not a measured EC50.",10.1016/j.pestbp.2013.05.014; PMID 25149228,review/class extrapolation,Sparks 2013 review does not establish sulfoxaflor alpha4beta2 EC50 1 mM. Label synthetic contrast.,https://pubmed.ncbi.nlm.nih.gov/25149228/
21,spinosad/insect_nAChR,EC50,5e-06,exact_compound_related_receptor,Drosophila melanogaster Dalpha6 / heterologous insect alpha6-like receptors,False,"Perry et al. 2015, Insect Biochem Mol Biol 64:106 (Drosophila Dalpha6 is required for spinosad action in vivo); heterologous alpha6 nAChR studies report allosteric activation in the low-micromolar order (EC50 about 5 uM). AGGREGATE ROW (v0.6): the measurement behind this number is alpha6-specific and is recorded subunit-resolved in insect_nAChR_alpha6. The same value is repeated here on the documented aggregate key (no new number was invented) so the legacy g_ach gain rule still fires; read as an aggregate it overstates the receptor population the value applies to.",10.1016/j.ibmb.2015.01.017; PMID 25747008,target supported; number and direction unsupported,Perry 2015 in-vivo rescue paper lacks heterologous receptor EC50. Later Drosophila work reports alpha6 antagonism. Remove 5 µM agonist value pending direct assay.,https://pubmed.ncbi.nlm.nih.gov/25747008/
22,spinosad/insect_nAChR_alpha6,EC50,5e-06,exact_compound_related_receptor,Drosophila melanogaster Dalpha6 (in vivo requirement) / heterologous insect alpha6-like receptors (the exact preparation behind the 5 uM order is not pinned),False,"Perry et al. 2015, Insect Biochem Mol Biol 64:106 (Drosophila Dalpha6 is required for spinosad action in vivo; Dalpha6 knockouts are highly resistant); heterologous alpha6 nAChR studies report allosteric activation in the low-micromolar order (EC50 about 5 uM). SUBUNIT-RESOLVED ROW (v0.6): this is the assay the spinosad number actually came from. The identical value also appears on the aggregate insect_nAChR key so the legacy gain rules keep working; no new number was invented for the split.",10.1016/j.ibmb.2015.01.017; PMID 25747008,target supported; number and direction unsupported,Same as aggregate row: Dalpha6 target genetics do not measure a 5 µM EC50; check direction against antagonist data.,https://pubmed.ncbi.nlm.nih.gov/35191376/
23,acetylcholine/insect_nAChR,EC50,1e-05,exact_compound_related_receptor,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid (and Dalpha5 homomers),False,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrids; acetylcholine reference responses in the low-micromolar range). Drosophila Dalpha5 homomers report an acetylcholine EC50 of about 8.8 uM.",10.1111/bph.13914; PMID 28616862,paper verified; value unconfirmed,Hybrid-receptor acetylcholine reference response exists; 10 µM exact EC50 and Dalpha5 homomer 8.8 µM need primary table check.,https://pubmed.ncbi.nlm.nih.gov/28616862/
24,acetylcholine/vertebrate_nAChR_a4b2,EC50,1e-05,exact_compound_exact_receptor_other_species,Homo sapiens alpha4beta2 in Xenopus oocytes,False,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 in oocytes; acetylcholine EC50 in the low-micromolar range).",PMID 8996215,paper verified; value unconfirmed,Human alpha4beta2 ACh assay exists; 10 µM is assay/stoichiometry dependent and needs primary table check.,https://pubmed.ncbi.nlm.nih.gov/8996215/
25,acetylcholine/vertebrate_nAChR_a7,EC50,0.00016,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,False,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetylcholine EC50 0.16 mM).",10.1111/bph.14018; PMID 28853147,direct,Rat alpha7 ACh EC50 ~0.16 mM in same primary study.,https://pubmed.ncbi.nlm.nih.gov/28853147/
26,gaba/insect_RDL,EC50,5e-05,exact_compound_exact_receptor_exact_species,Drosophila melanogaster RDLbd in Xenopus oocytes,False,"Lees et al. 2014, PLoS ONE 9:e97468 (RDLbd and RDLbd I/V in Xenopus oocytes; GABA pEC50 4.2-4.3, i.e. about 50 uM).",10.1371/journal.pone.0097468; PMID 24823815,direct,"GABA pEC50 4.34 on RDLbd I/V = 46 µM, matching 50 µM rounding.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097468
27,gaba/vertebrate_GABA_A,EC50,1e-05,exact_compound_exact_receptor_other_species,mammalian alpha1beta2gamma2 GABA-A,False,"Sigel and Steinmann 2012, J Biol Chem 287:40224 (GABA-A receptors; GABA EC50 in the 5-30 uM range for alpha1beta2gamma2).",10.1074/jbc.R112.386664; PMID 23038269,review/range,Sigel-Steinmann is review. 10 µM within stated range but not a single primary alpha1beta2gamma2 result. Cite primary assay for exact parameter.,https://pubmed.ncbi.nlm.nih.gov/23038269/
28,picrotoxin/insect_RDL,IC50,1e-06,exact_compound_exact_receptor_exact_species,Drosophila melanogaster,False,"Hosie et al. 1995, Br J Pharmacol 115:909 (picrotoxinin block of Drosophila GABA receptors, micromolar order); RDL oocyte IC50 varies up to about 17-fold with expression conditions (PLoS ONE 2021, RDL expression-condition study).",10.1111/j.1476-5381.1995.tb15896.x; PMID 7582519; 10.1371/journal.pone.0097468,assay direct; compound identity caveat,"Picrotoxin mixture versus picrotoxinin alone should be distinguished. Lees RDLbd I/V pIC50 6.44 = 0.36 µM, within order of 1 µM.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097468
29,picrotoxin/vertebrate_GABA_A,IC50,1e-06,exact_compound_exact_receptor_other_species,mammalian GABA-A,False,"Ratra and Casida 2001, Toxicol Lett 122:215 (picrotoxinin blocks mammalian GABA-A at about 1 uM, i.e. no useful insect selectivity).",10.1016/S0378-4274(01)00366-6; PMID 11489356,citation not direct,"Ratra-Casida is [3H]EBOB insecticide/subunit study, not demonstrated 1 µM picrotoxinin functional block. Find direct GABA-A assay.",https://pubmed.ncbi.nlm.nih.gov/11489356/
30,picrotoxin/vertebrate_GlyR,IC50,1e-05,class_extrapolation,mammalian homomeric glycine receptor,False,"Ratra and Casida 2001, Toxicol Lett 122:215 and standard glycine receptor pharmacology (picrotoxin blocks homomeric GlyR in the micromolar order). Order-of-magnitude value.",10.1016/S0378-4274(01)00366-6; PMID 11489356,source-receptor mismatch,"Ratra-Casida examines GABA receptors, not GlyR. Find a glycine-receptor picrotoxin primary assay; 10 µM currently unsupported.",https://pubmed.ncbi.nlm.nih.gov/11489356/
31,dieldrin/insect_RDL,IC50,1e-07,exact_compound_exact_receptor_exact_species,Drosophila melanogaster,False,"ffrench-Constant et al. 1993, Nature 363:449 (Rdl A301S confers cyclodiene resistance); Hosie et al. 1995, Br J Pharmacol 115:909 (cyclodiene block of dieldrin-sensitive Drosophila GABA receptors in the 0.1 uM order).",10.1038/363449a0; 10.1111/j.1476-5381.1995.tb15896.x,qualitative resistance; value unverified,ffrench-Constant proves RDL resistance mutation; Hosie paper measures fipronil. Neither checked source directly establishes dieldrin IC50 0.1 µM. Find primary dose-response.,https://doi.org/10.1038/363449a0
32,dieldrin/vertebrate_GABA_A,IC50,1e-06,exact_compound_exact_receptor_other_species,mammalian GABA-A,False,"Ratra and Casida 2001, Toxicol Lett 122:215 (cyclodienes block mammalian GABA-A at sub-micromolar to micromolar; the insect selectivity margin is small).",10.1016/S0378-4274(01)00366-6; PMID 11489356,class-order extrapolation,Ratra-Casida supports GABA subunit dependence but exact dieldrin 1 µM mammalian IC50 was not verified.,https://pubmed.ncbi.nlm.nih.gov/11489356/
33,ivermectin/insect_GluCl,EC50,2e-08,exact_compound_related_receptor,invertebrate GluCl (Drosophila genetics plus heterologous invertebrate GluCl),False,"Kane et al. 2000, PNAS 97:13949 (drug-resistant Drosophila show GluCl is the avermectin target); invertebrate GluCl activation is reported in the 0.1-30 nM order.",10.1073/pnas.240464697; PMID 11095718,target supported; value unverified,"Kane 2000 supports Drosophila GluCl target/resistance, not directly checked 20 nM functional EC50. Need heterologous Dmel GluCl dose-response.",https://doi.org/10.1073/pnas.240464697
34,ivermectin/insect_RDL,EC50,1e-06,exact_compound_exact_receptor_exact_species,Drosophila melanogaster RDL (predominant in vivo variant) in Xenopus oocytes,False,"Lees et al. 2014, PLoS ONE 9:e97468 (ivermectin activates and potentiates the predominant in vivo RDL variant at sub-micromolar to micromolar).",10.1371/journal.pone.0097468; PMID 24823815,contradicted mechanism,"Lees reports ivermectin inhibits GABA responses, no current alone at 10 µM; RDLbd I/V pIC50 6.33 (~0.47 µM). Change positive_modulator/EC50 interpretation after model audit.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097468
35,ivermectin/vertebrate_GlyR,EC50,1e-06,exact_compound_exact_receptor_other_species,rat/human alpha1 glycine receptor,False,"Shan et al. 2001, J Biol Chem 276:12556 (ivermectin is an unconventional agonist of the alpha1 glycine receptor, sub-micromolar to micromolar).",10.1074/jbc.M011264200; PMID 11278873,direct mechanism; value unconfirmed,Shan shows human alpha1 GlyR potentiation at 0.03 µM and direct activation above 0.03 µM. 1 µM lumping needs assay-specific curve.,https://pubmed.ncbi.nlm.nih.gov/11278873/
36,ivermectin/vertebrate_GABA_A,EC50,1e-05,exact_compound_exact_receptor_other_species,Mus musculus GABA-A,False,"Dawson et al. 2000, J Pharmacol Exp Ther 295:1051 (avermectin effects in mice are mediated through GABA-A; micromolar potentiation).",PMID 11082440,paper verified; value unconfirmed,"Dawson examines avermectin analogs, mouse seizures/GABA-A; not necessarily ivermectin 10 µM functional EC50. Identify compound and in-vitro figure.",https://pubmed.ncbi.nlm.nih.gov/11082440/
37,chlorpyrifos_oxon/insect_AChE,IC50,1e-08,exact_compound_exact_receptor_exact_species,Drosophila melanogaster AChE (Ace),False,"Fournier and Mutero 1994, Comp Biochem Physiol C 108:19 (Drosophila AChE is inhibited by oxon organophosphates in the low-nM order and is more sensitive than mammalian AChE).",10.1016/1367-8280(94)90084-1,review; number unsupported,"Fournier-Mutero 1994 is resistance review, not chlorpyrifos-oxon 10 nM Drosophila assay. Need primary enzyme IC50 and exposure time.",https://hero.epa.gov/reference/4491250/
38,chlorpyrifos_oxon/vertebrate_AChE,IC50,3e-07,exact_compound_exact_receptor_other_species,Homo sapiens erythrocyte AChE in donor blood,False,"Archives of Toxicology 2020, interspecies AChE inhibition study in electric eel and human donor blood (chlorpyrifos-oxon IC50 about 0.3 uM in human blood).",10.1007/s00204-020-02927-8; PMID 33037899,"direct, assay-specific","Kasteel 2020 Table 2 gives CPO IC50 0.27 µM in human donor blood, supporting 0.3 µM rounded; blood, not isolated human enzyme.",https://pubmed.ncbi.nlm.nih.gov/33037899/
39,deltamethrin/insect_Nav,EC50,4.3e-08,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,False,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para in Xenopus oocytes; tail-current EC50 0.043 uM deltamethrin, 0.40 uM permethrin, 65 uM DDT).",10.1016/j.ibmb.2011.05.004; PMID 21640822,direct,Burton Drosophila para tail-current EC50 deltamethrin 0.043 µM.,https://pubmed.ncbi.nlm.nih.gov/21640822/
40,deltamethrin/vertebrate_Nav1_x,EC50,5e-06,exact_compound_exact_receptor_other_species,Rattus norvegicus Nav1.6,False,"Tan and Soderlund 2010, Neurotoxicology 31:16 (modification of rat Nav1.6 by deltamethrin requires micromolar concentrations).",10.1016/j.taap.2010.07.001; PMID 20624410,citation wrong; value unverified,"Tan-Soderlund 2010 rat Nav1.6 paper is TAAP 247:229-237, not Neurotoxicology 31:16. Verify 5 µM dose-response and state-dependent protocol.",https://pmc.ncbi.nlm.nih.gov/articles/PMC2929565/
41,permethrin/insect_Nav,EC50,4e-07,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,False,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 0.40 uM for permethrin).",10.1016/j.ibmb.2011.05.004; PMID 21640822,direct,Burton Drosophila para tail-current EC50 permethrin 0.40 µM.,https://pubmed.ncbi.nlm.nih.gov/21640822/
42,permethrin/vertebrate_Nav1_x,EC50,4e-05,class_extrapolation,Rattus norvegicus brain type IIA sodium channels (fold-difference statement),False,"Smith and Soderlund 1998, Neurotoxicology 19:823 (permethrin is more than 100-fold less potent on rat brain type IIA sodium channels than on insect para).",PMID 9863771,wrong compound,"Smith-Soderlund 1998 article measures cypermethrin on rat brain IIa, not permethrin; cannot support permethrin 40 µM. Find direct permethrin mammalian Nav assay.",https://pubmed.ncbi.nlm.nih.gov/9863771/
43,ddt/insect_Nav,EC50,6.5e-05,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,False,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 65 uM for DDT, with only about 7 percent maximum channel modification).",10.1016/j.ibmb.2011.05.004; PMID 21640822,direct with low efficacy,Burton Drosophila para tail-current EC50 DDT 65 µM but maximum modification only 7%; model efficacy must preserve this weak maximum.,https://pubmed.ncbi.nlm.nih.gov/21640822/
44,ddt/vertebrate_Nav1_x,EC50,0.001,class_extrapolation,mammalian sodium channels (review-level contrast),False,"Vijverberg and van den Bercken 1990, Crit Rev Toxicol 21:105 (DDT and pyrethroids modify mammalian sodium channels only at much higher concentrations than insect channels). Order-of-magnitude contrast.",no verified DOI/PMID,source mismatch,"Vijverberg-van den Bercken 1990 reviews pyrethroids, not a 1 mM DDT Nav1.x EC50. Find primary DDT mammalian assay or mark illustrative.",https://research-portal.uu.nl/en/publications/neurotoxicological-effects-and-the-mode-of-action-of-pyrethroid-i/
