compound,receptor,param_type,value_M,hill_n,direction,relation,evidence_distance,species,evidence_tier,engagement_model,source
nicotine,insect_nAChR,EC50,2e-07,1.1,agonist,exact_compound_related_receptor,E2,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid,literature_order,functional_engagement_proxy,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrid nAChR; nicotine active in the sub-micromolar order). Value kept unchanged from FlyLab v0.4."
nicotine,vertebrate_nAChR_a4b2,EC50,1e-06,1.2,agonist,exact_compound_exact_receptor_other_species,E1,Homo sapiens alpha4beta2 in Xenopus oocytes,literature_order,functional_engagement_proxy,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 expressed in oocytes; nicotine EC50 in the low-micromolar order). Value kept unchanged from FlyLab v0.4."
nicotine,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
nicotine,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
diazepam,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
diazepam,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
diazepam,vertebrate_GABA_A,EC50,1e-08,1.3,positive_modulator,exact_compound_exact_receptor_other_species,E1,mammalian alpha1beta2gamma2 GABA-A,literature_order,functional_engagement_proxy,"Sigel and Ernst 2018, Trends Pharmacol Sci 39:659 (benzodiazepine site of alpha1beta2gamma2 GABA-A; diazepam potentiation in the 10 nM order). Value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): a genuine benzodiazepine-site Kd exists in the radioligand literature ([3H]flunitrazepam displacement), but the value used here comes from a POTENTIATION measurement, so the row is typed EC50 and, the preparation being a mammalian (non-Drosophila) receptor at evidence distance E1, reports functional_engagement_proxy, not binding occupancy. Upgrading it to Kd would require citing the binding study instead."
diazepam,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder: insect RDL lacks the vertebrate benzodiazepine site, so diazepam is modelled as inactive on the insect GABA-Cl channel."
fipronil,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
fipronil,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
fipronil,vertebrate_GABA_A,IC50,1.1e-06,1.0,antagonist,exact_compound_exact_receptor_other_species,E1,native GABA-related chloride-channel preparations from multiple vertebrate species ([3H]EBOB displacement),literature_order,functional_engagement_proxy,"Hainzl, Cole and Casida 1998, Chem Res Toxicol 11:1529-1535 (DOI 10.1021/tx980157t; PMID 9860498): mean fipronil IC50 1103 nM across human, dog, mouse, chicken, quail and salmon preparations by [3H]EBOB displacement. This is a multi-species binding-site proxy, not a human recombinant functional GABA-A potency."
fipronil,insect_RDL,IC50,3e-08,1.2,antagonist,exact_compound_related_receptor,E2,insect GABA-related chloride-channel preparations; Drosophila RDL variant response differs by assay,literature_order,functional_engagement_proxy,"The 30 nM model value is an assay-transfer proxy, not a measured constant for the predominant Drosophila RDLbd I/V variant. Hainzl et al. 1998 (DOI 10.1021/tx980157t) reports 3-12 nM insect [3H]EBOB displacement; Lees et al. 2014 (DOI 10.1371/journal.pone.0097468) reports about 0.63 uM functional block on RDLbd I/V. Model sensitivity to this range is unresolved."
clothianidin,insect_nAChR,EC50,3e-08,1.2,agonist,exact_compound_related_receptor,E2,Periplaneta americana native neuronal nAChR,literature_order,functional_engagement_proxy,"Thany 2009, Neurotoxicology 30:1045 (clothianidin is an agonist at cockroach nAChRs from about 30 nM); Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 for low-nM insect binding."
clothianidin,vertebrate_nAChR_a7,EC50,0.00074,1.0,partial_agonist,exact_compound_exact_receptor_other_species,E1,Rattus norvegicus alpha7,literature_order,functional_engagement_proxy,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; clothianidin partial agonist, EC50 0.74 mM, vs acetylcholine 0.16 mM)."
clothianidin,vertebrate_nAChR_a4b2,EC50,0.0001,1.0,agonist,class_extrapolation,E3,mammalian (inferred from the alpha7 data),literature_order,functional_engagement_proxy,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; no direct alpha4beta2 EC50 was located, so this row is a high-micromolar class order, not a measured EC50."
clothianidin,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
clothianidin,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
thiamethoxam,insect_nAChR,EC50,0.0001,1.0,partial_agonist,exact_compound_related_receptor,E2,Periplaneta americana neurons and cercal afferent/giant interneuron synapses,literature_order,functional_engagement_proxy,"Thany 2011, Neuropharmacology 60:587 (thiamethoxam is a poor agonist on isolated cockroach neuronal cell bodies but a full agonist at cercal afferent/giant interneuron synapses); Nauen et al. 2003, Pestic Biochem Physiol 76:55 (thiamethoxam is a precursor converted to clothianidin; binding up to 10000-fold weaker than other neonicotinoids)."
thiamethoxam,vertebrate_nAChR_a7,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder justified by Cartereau et al. 2018, Br J Pharmacol 175: thiamethoxam had no agonist effect on mammalian alpha7, so it is modelled as inactive."
thiamethoxam,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
thiamethoxam,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
thiamethoxam,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
acetamiprid,insect_nAChR,EC50,5e-08,1.2,agonist,class_extrapolation,E3,insect (review-level class statement),literature_order,functional_engagement_proxy,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (cyanoamidine neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). TYPING NOTE (v0.6): review-level affinity statement; typed as the weaker claim (EC50 / class_extrapolation, evidence distance E3), so it drives functional_engagement_proxy only."
acetamiprid,vertebrate_nAChR_a7,EC50,0.00073,1.0,partial_agonist,exact_compound_exact_receptor_other_species,E1,Rattus norvegicus alpha7,literature_order,functional_engagement_proxy,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetamiprid EC50 0.73 mM)."
acetamiprid,vertebrate_nAChR_a4b2,EC50,0.0001,1.0,agonist,class_extrapolation,E3,mammalian (inferred from the alpha7 data),literature_order,functional_engagement_proxy,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; not a measured alpha4beta2 EC50."
acetamiprid,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
acetamiprid,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
sulfoxaflor,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"Placeholder pending source verification: Watson et al. 2011, Insect Biochem Mol Biol 41:432-439 (DOI 10.1016/j.ibmb.2011.01.009; PMID 21296156) supports Dalpha2/chicken beta2 receptor activity but does not verify the former 154 uM value in the checked record. A table-verified potency is required."
sulfoxaflor,vertebrate_nAChR_a4b2,EC50,0.001,1.0,agonist,class_extrapolation,E3,mammalian (review-level contrast),literature_order,functional_engagement_proxy,"Sparks et al. 2013, Pestic Biochem Physiol 107:1 (low mammalian nAChR activity reported for sulfoximines). Order-of-magnitude contrast, not a measured EC50."
sulfoxaflor,vertebrate_nAChR_a7,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
sulfoxaflor,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
sulfoxaflor,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
spinosad,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,Placeholder pending source verification: Perry et al. 2015 (DOI 10.1016/j.ibmb.2015.01.017; PMID 25747008) supports Dalpha6 target involvement but not a 5 uM receptor EC50. Martelli et al. 2022 (PMID 35191376) reports low-dose antagonism of Dalpha6-mediated cholinergic response. No quantitative receptor potency or direction is admitted pending an assay-matched source.
spinosad,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder: no mammalian nAChR potency is reported for spinosyns at insecticidal concentrations.
spinosad,vertebrate_nAChR_a7,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
spinosad,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
spinosad,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
spinosad,insect_nAChR_alpha6,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"Placeholder pending source verification: Dalpha6 is a spinosad target (Perry et al. 2015, DOI 10.1016/j.ibmb.2015.01.017), but that study does not measure the previously entered 5 uM receptor EC50; Martelli et al. 2022 (PMID 35191376) reports low-dose antagonism. This row is intentionally not modelled until potency and effect direction are sourced."
acetylcholine,insect_nAChR,EC50,1e-05,1.2,agonist,exact_compound_related_receptor,E2,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid (and Dalpha5 homomers),literature_order,functional_engagement_proxy,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrids; acetylcholine reference responses in the low-micromolar range). Drosophila Dalpha5 homomers report an acetylcholine EC50 of about 8.8 uM."
acetylcholine,vertebrate_nAChR_a4b2,EC50,1e-05,1.2,agonist,exact_compound_exact_receptor_other_species,E1,Homo sapiens alpha4beta2 in Xenopus oocytes,literature_order,functional_engagement_proxy,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 in oocytes; acetylcholine EC50 in the low-micromolar range)."
acetylcholine,vertebrate_nAChR_a7,EC50,0.00016,1.5,agonist,exact_compound_exact_receptor_other_species,E1,Rattus norvegicus alpha7,literature_order,functional_engagement_proxy,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetylcholine EC50 0.16 mM)."
acetylcholine,insect_AChE,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder: acetylcholine is the substrate of AChE, not an inhibitor"
acetylcholine,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
acetylcholine,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
gaba,insect_RDL,EC50,5e-05,1.5,agonist,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster RDLbd in Xenopus oocytes,literature_order,functional_engagement,"Lees et al. 2014, PLoS ONE 9:e97468 (RDLbd and RDLbd I/V in Xenopus oocytes; GABA pEC50 4.2-4.3, i.e. about 50 uM)."
gaba,vertebrate_GABA_A,EC50,1e-05,1.5,agonist,exact_compound_exact_receptor_other_species,E1,mammalian alpha1beta2gamma2 GABA-A,literature_order,functional_engagement_proxy,"Sigel and Steinmann 2012, J Biol Chem 287:40224 (GABA-A receptors; GABA EC50 in the 5-30 uM range for alpha1beta2gamma2)."
gaba,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
gaba,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
picrotoxin,insect_RDL,IC50,1e-06,1.0,antagonist,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster,literature_order,functional_engagement,"Hosie et al. 1995, Br J Pharmacol 115:909 (picrotoxinin block of Drosophila GABA receptors, micromolar order); RDL oocyte IC50 varies up to about 17-fold with expression conditions (PLoS ONE 2021, RDL expression-condition study)."
picrotoxin,vertebrate_GABA_A,IC50,1e-06,1.0,antagonist,exact_compound_exact_receptor_other_species,E1,mammalian GABA-A,literature_order,functional_engagement_proxy,"Ratra and Casida 2001, Toxicol Lett 122:215 (picrotoxinin blocks mammalian GABA-A at about 1 uM, i.e. no useful insect selectivity)."
picrotoxin,vertebrate_GlyR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,Placeholder pending source verification: The previously cited Ratra and Casida GABA-receptor paper does not assay GlyR. A direct glycine-receptor picrotoxin preparation and potency are required before this row can be quantified.
picrotoxin,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
picrotoxin,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
dieldrin,insect_RDL,IC50,1e-07,1.0,antagonist,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster,literature_order,functional_engagement,"ffrench-Constant et al. 1993, Nature 363:449 (Rdl A301S confers cyclodiene resistance); Hosie et al. 1995, Br J Pharmacol 115:909 (cyclodiene block of dieldrin-sensitive Drosophila GABA receptors in the 0.1 uM order)."
dieldrin,vertebrate_GABA_A,IC50,1e-06,1.0,antagonist,exact_compound_exact_receptor_other_species,E1,mammalian GABA-A,literature_order,functional_engagement_proxy,"Ratra and Casida 2001, Toxicol Lett 122:215 (cyclodienes block mammalian GABA-A at sub-micromolar to micromolar; the insect selectivity margin is small)."
dieldrin,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
dieldrin,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
ivermectin,insect_GluCl,EC50,2e-08,1.0,agonist,exact_compound_related_receptor,E2,invertebrate GluCl (Drosophila genetics plus heterologous invertebrate GluCl),literature_order,functional_engagement_proxy,"Kane et al. 2000, PNAS 97:13949 (drug-resistant Drosophila show GluCl is the avermectin target); invertebrate GluCl activation is reported in the 0.1-30 nM order."
ivermectin,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"Placeholder pending source verification: Lees et al. 2014 (DOI 10.1371/journal.pone.0097468) reports ivermectin inhibition of GABA-evoked RDLbd I/V currents (pIC50 6.33), with no current from 10 uM ivermectin alone. The former positive-modulator EC50 contradicted that assay; an inhibitory model mapping has not yet been validated."
ivermectin,vertebrate_GlyR,EC50,1e-06,1.0,positive_modulator,exact_compound_exact_receptor_other_species,E1,rat/human alpha1 glycine receptor,literature_order,functional_engagement_proxy,"Shan et al. 2001, J Biol Chem 276:12556 (ivermectin is an unconventional agonist of the alpha1 glycine receptor, sub-micromolar to micromolar)."
ivermectin,vertebrate_GABA_A,EC50,1e-05,1.0,positive_modulator,exact_compound_exact_receptor_other_species,E1,Mus musculus GABA-A,literature_order,functional_engagement_proxy,"Dawson et al. 2000, J Pharmacol Exp Ther 295:1051 (avermectin effects in mice are mediated through GABA-A; micromolar potentiation)."
ivermectin,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlorpyrifos_oxon,insect_AChE,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"Placeholder pending source verification: Fournier and Mutero 1994 is a resistance review, not a primary Drosophila chlorpyrifos-oxon 10 nM IC50 assay. The previous number is withheld pending a primary enzyme assay with exposure time."
chlorpyrifos_oxon,vertebrate_AChE,IC50,3e-07,1.0,inhibitor,exact_compound_exact_receptor_other_species,E1,Homo sapiens erythrocyte AChE in donor blood,literature_order,functional_engagement_proxy,"Archives of Toxicology 2020, interspecies AChE inhibition study in electric eel and human donor blood (chlorpyrifos-oxon IC50 about 0.3 uM in human blood)."
chlorpyrifos_oxon,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder: the oxon acts on the enzyme, not directly on the receptor"
chlorpyrifos_oxon,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlorpyrifos_oxon,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlorpyrifos_oxon,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
deltamethrin,insect_Nav,EC50,4.3e-08,1.0,positive_modulator,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster para in Xenopus oocytes,literature_order,functional_engagement,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para in Xenopus oocytes; tail-current EC50 0.043 uM deltamethrin, 0.40 uM permethrin, 65 uM DDT)."
deltamethrin,vertebrate_Nav1_x,EC50,5e-06,1.0,positive_modulator,exact_compound_exact_receptor_other_species,E1,Rattus norvegicus Nav1.6,literature_order,functional_engagement_proxy,"Tan and Soderlund 2010, Neurotoxicology 31:16 (modification of rat Nav1.6 by deltamethrin requires micromolar concentrations)."
deltamethrin,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
deltamethrin,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
deltamethrin,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
permethrin,insect_Nav,EC50,4e-07,1.0,positive_modulator,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster para in Xenopus oocytes,literature_order,functional_engagement,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 0.40 uM for permethrin)."
permethrin,vertebrate_Nav1_x,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"Placeholder pending source verification: Smith and Soderlund 1998 (PMID 9863771) studied cypermethrin, not permethrin. It cannot support the former 40 uM permethrin parameter; a matched mammalian permethrin assay is required."
permethrin,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
permethrin,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
permethrin,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
ddt,insect_Nav,EC50,6.5e-05,1.0,positive_modulator,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster para in Xenopus oocytes,literature_order,functional_engagement,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 65 uM for DDT, with only about 7 percent maximum channel modification)."
ddt,vertebrate_Nav1_x,EC50,0.001,1.0,positive_modulator,class_extrapolation,E3,mammalian sodium channels (review-level contrast),literature_order,functional_engagement_proxy,"Vijverberg and van den Bercken 1990, Crit Rev Toxicol 21:105 (DDT and pyrethroids modify mammalian sodium channels only at much higher concentrations than insect channels). Order-of-magnitude contrast."
ddt,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
ddt,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
ddt,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlordimeform,insect_OctR,EC50,3e-05,1.0,partial_agonist,exact_compound_related_receptor,E2,insect octopamine-sensitive adenylate cyclase preparation (octopamine-2 receptor),literature_order,functional_engagement_proxy,"Nathanson 1985, PNAS 82:599 (octopamine-sensitive adenylate cyclase; formamidines are potent and selective octopamine-2 receptor agonists). Reported Ka order: about 3e-5 M for chlordimeform and about 2e-6 M for its N-demethyl metabolite. TYPING NOTE (v0.6): the source reports an activation constant (Ka) for adenylate-cyclase stimulation, i.e. a functional potency. It is typed EC50 and drives functional_engagement; it is not a binding constant."
chlordimeform,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlordimeform,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
chlordimeform,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder: mammalian action is at alpha2-adrenoceptors, which are not in this receptor set"
chlordimeform,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
caffeine,vertebrate_GABA_A,IC50,0.001,1.0,antagonist,class_extrapolation,E3,mammalian GABA-A (review-level statement),literature_order,functional_engagement_proxy,"Fredholm et al. 1999, Pharmacol Rev 51:83 (caffeine antagonises GABA-A only at millimolar concentrations, far above the adenosine-receptor range)."
caffeine,insect_nAChR,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
caffeine,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,"class-order placeholder: fly caffeine targets are adenosine-like receptors and PDEs, not modelled here"
caffeine,vertebrate_nAChR_a4b2,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
